jurisdiction;country;publisher;count;sourceDomain;publisherAbreviation;match;measure value;codelistOrganisationRegistrationAgencyKey;registryCode;registryName;countryCode;country_1;registryWebsite;publicDatabase;iatiUsageRules
us_oh;Ohio (US);Ohio Secretary of State;1,654,815;http://www2.sos.state.oh.us;OSOS;NGO Board of Malawi;15;31;MW-NBM;NGO Board of Malawi;MW;Malawi;http://ngoboardmalawi.mw/directory.php;N;There is a pdf file with a list of registered NGOs, but these do not appear to be registration numbers. New database is planned
us_ok;Oklahoma (US);Oklahoma Secretary Of State;466,085;https://www.sos.ok.gov;OSOS;Company Registrar Office;18;35;NP-CRO;Company Registrar Office;NP;Nepal;http://www.cro.gov.np/;;
us_or;Oregon (US);Oregon Secretary of State (Corporation Division);717,390;http://egov.sos.state.or.us;OSOSCD;Registar of Companies;30;25;KE-RCO;Registar of Companies;KE;Kenya;http://www.attorney-general.go.ke/;N;
us_pa;Pennsylvania (US);Pennsylvania Department of State;1,786,467;https://www.corporations.state.pa.us;PDOS;Registrar General, Department of Justice;18;32;MW-RG;Registrar General, Department of Justice;MW;Malawi;;N;
us_ri;Rhode Island (US);Rhode Island Secretary of State, Division Of Business Services;96,118;http://ucc.state.ri.us;RISOSDOBS;;;;;;;;;;
us_sc;South Carolina (US);South Carolina Secretary Of State;717,744;http://www.sos.sc.gov;SCSOS;Company Registrar Office;22;35;NP-CRO;Company Registrar Office;NP;Nepal;http://www.cro.gov.np/;;
us_sd;South Dakota (US);South Dakota Secretary of State;126,307;https://sos.sd.gov;SDSOS;Company Registrar Office;21;35;NP-CRO;Company Registrar Office;NP;Nepal;http://www.cro.gov.np/;;
us_tn;Tennessee (US);Tennessee Secretary of State, Division of Business Services;687,894;https://tnbear.tn.gov;TSOSDOBS;;;;;;;;;;
us_ut;Utah (US);Utah Department of Commerce;314,394;https://secure.utah.gov;UDOC;Department of Social Welfare;16;15;GH-DSW;Department of Social Welfare;GH;Ghana;;N;
us_va;Virginia (US);Commonwealth Of Virginia State Corporation Commission;793,536;https://sccefile.scc.virginia.gov;COVSCC;Australian Charities and Not-for-profits Commission;34;4;AU-ACNC;Australian Charities and Not-for-profits Commission;AU;Australia;http://www.acnc.gov.au/ACNC/;Y;
us_vt;Vermont (US);Vermont Secretary of State: Corporations Division;91,979;http://www.sec.state.vt.us;VSOSCD;Private Voluntary Organisations Council;32;49;ZW-PVO;Private Voluntary Organisations Council;ZW;Zimbabwe;;N;
us_wa;Washington (US);Washington Secretary of State - Corporations Division;940,407;http://www.sos.wa.gov;WSOSCD;Private Voluntary Organisations Council;35;49;ZW-PVO;Private Voluntary Organisations Council;ZW;Zimbabwe;;N;
us_wv;West Virginia (US);West Virginia Secretary of State;310,036;http://apps.sos.wv.gov;WVSOS;Registrar of Deeds;21;50;ZW-ROD;Registrar of Deeds;ZW;Zimbabwe;;N;
us_wy;Wyoming (US);Wyoming Secretary of State's Office;280,593;https://wyobiz.wy.gov;WSOSSO;Company Registrar Office;21;35;NP-CRO;Company Registrar Office;NP;Nepal;http://www.cro.gov.np/;;
vn;Viet Nam;Vietnam National Business Registration System;84,211;https://dichvuthongtin.dkkd.gov.vn;VNBRS;Patents and Companies Registration Agency;24;48;ZM-PCR;Patents and Companies Registration Agency;ZM;Zambia;http://www.pacra.org.zm/;N;
vu;Vanuatu;Vanuatu Financial Services Commission;5,147;http://vfsc.vu;VFSC;Charity Commission;22;9;GB-CHC;Charity Commission;GB;United Kingdom;http://www.charity-commission.gov.uk/;Y;
za;South Africa;South Africa Companies and Intellectual Property Commission;1,559,848;http://www.cipro.co.za;SACAIPC;Companies and Intellectual Property Commission (CIPC);20;44;ZA-CIP;Companies and Intellectual Property Commission (CIPC);ZA;South Africa;http://www.cipro.gov.za/;Y;
